capture_time_utc,recv_ts_ms,exchange_ts,exchange_ts_ms,symbol,bid,ask,bid_qty,ask_qty,raw_age_ms,adjusted_age_ms,e2e_since_sub_ms
2026-02-22T14:18:12.070810+00:00,1771769892070.800,2026-02-22T14:18:13.472855Z,1771769893472.855,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1402.055,6.875,1920.343
2026-02-22T14:18:12.072050+00:00,1771769892072.044,2026-02-22T14:18:13.474427Z,1771769893474.427,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1402.383,6.547,1921.587
2026-02-22T14:18:12.072366+00:00,1771769892072.360,2026-02-22T14:18:13.474427Z,1771769893474.427,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1402.067,6.863,1921.903
2026-02-22T14:18:12.073568+00:00,1771769892073.563,2026-02-22T14:18:13.475837Z,1771769893475.837,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1402.274,6.656,1923.106
2026-02-22T14:18:12.073889+00:00,1771769892073.883,2026-02-22T14:18:13.476144Z,1771769893476.144,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1402.261,6.670,1923.426
2026-02-22T14:18:12.075158+00:00,1771769892075.141,2026-02-22T14:18:13.477417Z,1771769893477.417,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1402.276,6.655,1924.684
2026-02-22T14:18:12.075493+00:00,1771769892075.476,2026-02-22T14:18:13.477417Z,1771769893477.417,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.941,6.990,1925.019
2026-02-22T14:18:12.077154+00:00,1771769892077.145,2026-02-22T14:18:13.479057Z,1771769893479.057,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.912,7.018,1926.688
2026-02-22T14:18:12.077173+00:00,1771769892077.168,2026-02-22T14:18:13.479068Z,1771769893479.068,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.900,7.030,1926.711
2026-02-22T14:18:12.078244+00:00,1771769892078.237,2026-02-22T14:18:13.480502Z,1771769893480.502,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1402.265,6.666,1927.780
2026-02-22T14:18:12.078604+00:00,1771769892078.597,2026-02-22T14:18:13.480502Z,1771769893480.502,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1401.905,7.026,1928.140
2026-02-22T14:18:12.081067+00:00,1771769892081.061,2026-02-22T14:18:13.482369Z,1771769893482.369,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.308,7.622,1930.604
2026-02-22T14:18:12.081083+00:00,1771769892081.079,2026-02-22T14:18:13.482468Z,1771769893482.468,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.389,7.541,1930.622
2026-02-22T14:18:12.087007+00:00,1771769892086.990,2026-02-22T14:18:13.483886Z,1771769893483.886,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1396.896,12.035,1936.533
2026-02-22T14:18:12.087035+00:00,1771769892087.028,2026-02-22T14:18:13.483886Z,1771769893483.886,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1396.858,12.073,1936.571
2026-02-22T14:18:12.087515+00:00,1771769892087.046,2026-02-22T14:18:13.485835Z,1771769893485.835,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1398.789,10.141,1936.589
2026-02-22T14:18:12.087607+00:00,1771769892087.577,2026-02-22T14:18:13.485927Z,1771769893485.927,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1398.350,10.581,1937.120
2026-02-22T14:18:12.087644+00:00,1771769892087.632,2026-02-22T14:18:13.485835Z,1771769893485.835,BTC/EUR,57354.1,57355.2,0.00116395,0.03163939,-1398.203,10.727,1937.175
2026-02-22T14:18:12.087660+00:00,1771769892087.656,2026-02-22T14:18:13.487740Z,1771769893487.740,BTC/EUR,57354.1,57354.6,0.00116395,0.03163939,-1400.084,8.846,1937.199
2026-02-22T14:18:12.088920+00:00,1771769892088.912,2026-02-22T14:18:13.490515Z,1771769893490.515,BTC/EUR,57354.5,57354.6,0.11912419,0.03163939,-1401.603,7.328,1938.455
2026-02-22T14:18:12.088936+00:00,1771769892088.931,2026-02-22T14:18:13.490542Z,1771769893490.542,BTC/EUR,57354.5,57355.2,0.11912419,0.03163939,-1401.611,7.320,1938.474
